,CART Obj,CART Runtime,Initial Root Relaxation - Obj,Initial Root Relaxation - Time,Initial Root Relaxation - Work,Presolve Relaxation - Obj,Presolve Relaxation - Time,Presolve Relaxation - Work,Final Root Relaxation - Obj,Final Root Relaxation - Time,Final Root Relaxation - Work,Model,Begin Opt Time,Dataset,Encoding,Buckets,|F|,|F^C|,|F^N|,|F^B|,|K|,Model Status,Objective,Bound,Gap,Solve Time,Node Count,Fingerprint,Memory Usage,Warmstart,Polish Warmstart,Results Directory,Compare Relaxations,depth,lambda,job id,TimeLimit,Threads,MIPGap,MIPFocus,Heuristics,NodeMethod,Method,Seed,PBS Memory Usage,PBS Walltime,PBS CPUtime
2835,168,0.031936646,0.99536,0.58,1.32,0.99535997,2.847895145,5.361528441,0.99535997,4.517862082,9.340190958,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.799692308,0.942520513,0.17860395,3600.004262,169384,1335188999,0.305429448,TRUE,TRUE,Baseline,FALSE,2,0.002,1643,3600,1,0,0,0.05,-1,-1,0,0.366888,3605,3548
2836,168,0.031880617,0.9767998,0.65,1.52,0.976797789,2.764919996,5.242273805,0.976790911,4.225425959,8.580283074,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.767692308,0.931114003,0.212873952,3600.003649,259280,-1984518878,0.404715352,TRUE,TRUE,Baseline,FALSE,2,0.01,1635,3600,1,0,0,0.05,-1,-1,0,0.49616,3605,3561
2837,168,0.031859875,0.9907199,0.56,1.27,0.990719156,2.699878931,5.078917585,0.990718022,4.13745904,8.33275329,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.791692308,0.953041965,0.203803493,3600.003917,224237,11775534,0.355115808,TRUE,TRUE,Baseline,FALSE,2,0.004,1641,3600,1,0,0,0.05,-1,-1,0,0.458044,3605,3555
2838,168,0.030957699,0.9860799,0.66,1.5,0.986078733,2.880445004,5.446413252,0.986078328,4.562283993,9.27359446,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.783692308,0.953468908,0.216636808,3600.004564,223672,634537194,0.34800948,TRUE,TRUE,Baseline,FALSE,2,0.006,1639,3600,1,0,0,0.05,-1,-1,0,0.445984,3605,3561
2839,168,0.031760931,0.9814399,0.65,1.52,0.981438231,2.780870914,5.338625997,0.981432729,4.271675825,8.651617799,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.775692308,0.930972646,0.200182903,3600.003725,218262,98637287,0.328464872,TRUE,TRUE,Baseline,FALSE,2,0.008,1637,3600,1,0,0,0.05,-1,-1,0,0.416552,3605,3556
2840,168,0.031602621,0.99768,0.54,1.23,0.997679984,2.670386076,4.986205852,0.997679984,3.960832119,7.87319587,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.803692308,0.901360708,0.121524617,3600.004141,230984,1953847588,0.274550024,TRUE,TRUE,Baseline,FALSE,2,0.001,1645,3600,1,0,0,0.05,-1,-1,0,0.356856,3604,3548
2841,168,0.031475306,0.998144,0.53,1.23,0.998143986,2.609271049,4.85666845,0.998143986,3.875063181,7.800052533,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.804492308,0.896793642,0.114732402,3600.003699,254973,286191208,0.28814592,TRUE,TRUE,Baseline,FALSE,2,0.0008,1647,3600,1,0,0,0.05,-1,-1,0,0.380232,3605,3555
2842,168,0.031632185,0.998608,0.53,1.22,0.998607988,2.612232924,4.852482178,0.998607988,4.017313957,8.078853824,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.805292308,0.922159162,0.14512352,3600.00417,229095,1120234724,0.289519488,TRUE,TRUE,Baseline,FALSE,2,0.0006,1649,3600,1,0,0,0.05,-1,-1,0,0.36502,3605,3547
2843,2414,0.107856035,0.92,1.44,2.4,0.92,11.38254404,13.94666106,0.916894322,43.52786899,59.43990045,FlowRegOCT,21/07/2025 16:44,seismic-bumps,Quantile Buckets,5,15,5,10,43,2,2,0.894210526,0.894210526,0,46.38334489,1,1775727087,0.480152576,TRUE,TRUE,Baseline,FALSE,3,0.04,3682,3600,1,0,0,0.05,-1,-1,0,0.465104,55,52
2844,154,0.033194065,0.9075278,0.68,1.52,0.907504637,2.922774792,5.361094062,0.907495786,7.541457891,14.3365815,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.660384615,0.812115385,0.229761211,3600.012684,215359,-1163817707,0.362025144,TRUE,TRUE,Baseline,FALSE,2,0.04,1631,3600,1,0,0,0.05,-1,-1,0,0.447412,3606,3567
2845,168,0.031371355,0.999536,0.64,1.54,0.999535995,2.661847115,5.087934209,0.999523775,6.825176001,14.49695798,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.806892308,0.900620613,0.116159622,3600.00418,221291,1524344593,0.268130288,TRUE,TRUE,Baseline,FALSE,2,0.0002,1653,3600,1,0,0,0.05,-1,-1,0,0.349872,3604,3550
