Accuracy,Worst Class Accuracy,Average Leaf Depth,Max Leaf Depth,Leaves Used,CART Obj,CART Runtime,Benders Cuts - Cuts Added,Benders Cuts - Time,Minimum Node Support - Cuts Added,Minimum Node Support - Time,Solution Polishing - Solutions Found,Solution Polishing - Time,Path Bound Cutting Planes - Cuts Added,Path Bound Cutting Planes - Time,Cut Set Callback - Cuts Added,Cut Set Callback - Time,Cut Set Initial Cuts - Cuts,Cut Set Initial Cuts - Time,EQP Initial Cuts - Auxiliary Vars,EQP Initial Cuts - Cuts,EQP Initial Cuts - Time,Initial Root Relaxation - Obj,Initial Root Relaxation - Time,Initial Root Relaxation - Work,Presolve Relaxation - Obj,Presolve Relaxation - Time,Presolve Relaxation - Work,Final Root Relaxation - Obj,Final Root Relaxation - Time,Final Root Relaxation - Work,Model,Begin Opt Time,Dataset,Encoding,Buckets,|F|,|F^C|,|F^N|,|F^B|,|K|,Model Status,Objective,Bound,Gap,Solve Time,Node Count,Fingerprint,Memory Usage,Warmstart,Polish Warmstart,Results Directory,Compare Relaxations,depth,lambda,Subjob id,Array Job id,TimeLimit,Threads,MIPGap,MIPFocus,Heuristics,NodeMethod,Method,Seed,Presolve,NodeLimit,Benders Cuts-Enabled,Benders Cuts-Enhanced Cuts,Benders Cuts-Relax w,Benders Cuts-EC Level,Minimum Node Support-Enabled,Solution Polishing-Enabled,Solution Polishing-Check Validity,Leaf Bound-Enabled,Leaf Bound-EQP Bound,Leaf Bound-FlowOCT Bound,Leaf Bound-BendOCT Bound,Path Bound Cutting Planes-Enabled,Path Bound Cutting Planes-Endpoint Only,Path Bound Cutting Planes-Cut Type,Path Bound Cutting Planes-Bound Negative Samples,Path Bound Cutting Planes-Bound Structure,Path Bound Cutting Planes-Cut Focus,Cut Set Callback-Enabled,Cut Set Callback-Solution Method,Cut Set Callback-Cut Type,Cut Set Initial Cuts-Enabled,Cut Set Initial Cuts-Solution Method,EQP Initial Cuts-Enabled,EQP Initial Cuts-Features Removed,EQP Initial Cuts-H Variant,EQP Initial Cuts-Disaggregate Alpha,EQP Initial Cuts-Group Selection,EQP Initial Cuts-Ignore Dataset Check,EQP Initial Cuts-Filter Dominated,EQP Initial Cuts-Beta Dependence,Memory,Walltime,CPUtime
80.50541516245487,43.20987654320987,3.0,3,8,0.8002541516245487,0.0090382099151611,1389,0.23101806640625,0,0,0,0.0135943889617919,1314,0.3432393074035644,0,0,0,0,1032,1514,0.0298807621002197,0.9473025,0.08,0.11,0.9473025145887224,0.2193500995635986,0.2421550213669707,0.9453968967775492,0.8018150329589844,0.741441924169424,BendRegOCT,2026-07-09 12:50:56,breast-cancer,,,9,9,0,38,2,2,0.8002541516245485,0.8002541516245485,0.0,9.257508993148804,714.0,293504732,0.054774024,True,True,WorstCaseBaseline,False,3,0.0006,11,23549190[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,True,False,1,False,True,False,False,False,False,False,True,False,Lazy,True,True,Samples,False,LP,Lazy,False,LP,True,2,Recursive,True,True,True,True,True,0.16226,90,14
80.50541516245487,43.20987654320987,3.0,3,8,0.8034541516245487,0.0099425315856933,1367,0.2290210723876953,0,0,0,0.015822410583496,1340,0.4106154441833496,0,0,0,0,1032,1514,0.0291700363159179,0.9505025,0.07,0.09,0.9505025145887224,0.3107819557189941,0.2579240175910875,0.9488069731378328,0.8336889743804932,0.7275507825976022,BendRegOCT,2026-07-09 12:50:56,breast-cancer,,,9,9,0,38,2,2,0.8034541516245486,0.8034541516245486,0.0,9.40884494781494,767.0,323932868,0.047737368,True,True,WorstCaseBaseline,False,3,0.0002,13,23549190[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,True,False,1,False,True,False,False,False,False,False,True,False,Lazy,True,True,Samples,False,LP,Lazy,False,LP,True,2,Recursive,True,True,True,True,True,0.149792,90,15
80.50541516245487,43.20987654320987,3.0,3,8,0.7986541516245488,0.0088958740234375,1448,0.2331860065460205,0,0,0,0.0148749351501464,1354,0.3510372638702392,0,0,0,0,1032,1514,0.0309357643127441,0.9457025,0.08,0.11,0.9457025145887225,0.2173709869384765,0.2421550183669707,0.9437968967775492,0.7994999885559082,0.7414580113674348,BendRegOCT,2026-07-09 12:50:56,breast-cancer,,,9,9,0,38,2,2,0.7986541516245484,0.7986541516245486,0.0,10.845956802368164,782.0,332006342,0.078000288,True,True,WorstCaseBaseline,False,3,0.0008,10,23549190[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,True,False,1,False,True,False,False,False,False,False,True,False,Lazy,True,True,Samples,False,LP,Lazy,False,LP,True,2,Recursive,True,True,True,True,True,0.16138,92,16
80.14440433212997,40.74074074074074,2.857142857142857,3,7,0.764173285198556,0.0091195106506347,1492,0.1980712413787841,0,0,2,0.0207767486572265,1514,0.3265993595123291,0,0,0,0,1032,1514,0.0282075405120849,0.9201025,0.06,0.08,0.920102514588722,0.2123050689697265,0.2259600182409527,0.918816112348052,0.6105010509490967,0.5966782419445348,BendRegOCT,2026-07-09 12:50:56,breast-cancer,,,9,9,0,38,2,2,0.7734440433212995,0.7734440433212995,0.0,10.86699891090393,961.0,-1520852595,0.047463192,True,True,WorstCaseBaseline,False,3,0.004,7,23549190[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,True,False,1,False,True,False,False,False,False,False,True,False,Lazy,True,True,Samples,False,LP,Lazy,False,LP,True,2,Recursive,True,True,True,True,True,0.157836,92,16
80.50541516245487,43.20987654320987,3.0,3,8,0.7970541516245487,0.0091228485107421,1507,0.2345137596130371,0,0,0,0.0155470371246337,2058,0.5712122917175293,0,0,0,0,1032,1514,0.0297410488128662,0.9441025,0.08,0.11,0.9441025145887224,0.2177419662475586,0.2421550183669707,0.9421968967775494,0.7997829914093018,0.7371157120832231,BendRegOCT,2026-07-09 12:50:56,breast-cancer,,,9,9,0,38,2,2,0.7970541516245486,0.7970541516245486,0.0,15.798643112182615,1391.0,226983580,0.07727256,True,True,WorstCaseBaseline,False,3,0.001,9,23549190[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,True,False,1,False,True,False,False,False,False,False,True,False,Lazy,True,True,Samples,False,LP,Lazy,False,LP,True,2,Recursive,True,True,True,True,True,0.159272,97,21
80.50541516245487,43.20987654320987,3.0,3,8,0.8018541516245488,0.0088419914245605,1483,0.2345890998840332,0,0,0,0.0152621269226074,1938,0.5379683971405029,0,0,0,0,1032,1514,0.0296792984008789,0.9489025,0.08,0.11,0.9489025145887224,0.217879056930542,0.2421551133669707,0.9469968967775494,0.8000750541687012,0.7414450319271599,BendRegOCT,2026-07-09 12:50:56,breast-cancer,,,9,9,0,38,2,2,0.8018541516245485,0.8018541516245485,0.0,16.670035123825073,1285.0,1091551468,0.07475132,True,True,WorstCaseBaseline,False,3,0.0004,12,23549190[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,True,False,1,False,True,False,False,False,False,False,True,False,Lazy,True,True,Samples,False,LP,Lazy,False,LP,True,2,Recursive,True,True,True,True,True,0.161164,97,22
80.50541516245487,43.20987654320987,3.0,3,8,0.8042541516245487,0.0089144706726074,1523,0.2278764247894287,0,0,0,0.018045425415039,2098,0.4787743091583252,0,0,0,0,1032,1514,0.0289559364318847,0.9513025,0.07,0.09,0.9513025145887224,0.2033069133758545,0.2228551897911175,0.9496253650917872,0.7542538642883301,0.6961383644441109,BendRegOCT,2026-07-09 12:50:56,breast-cancer,,,9,9,0,38,2,2,0.8042541516245485,0.8042541516245485,0.0,17.717705011367798,1428.0,-1778425936,0.069967624,True,True,WorstCaseBaseline,False,3,0.0001,14,23549190[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,True,False,1,False,True,False,False,False,False,False,True,False,Lazy,True,True,Samples,False,LP,Lazy,False,LP,True,2,Recursive,True,True,True,True,True,0.168992,98,22
79.40074906367042,0.0,0.0,0,1,0.7340074906367042,0.0055766105651855,322,0.010333776473999,0,0,0,0.0006415843963623,4,0.0007305145263671,0,0,0,0,1234,1813,0.0326011180877685,0.7944997,0.01,0.02,0.7606556133182334,0.0813369750976562,0.075872419625435,0.7526980539046028,0.0930111408233642,0.0912238634802806,BendRegOCT,2026-07-09 12:51:33,spect,,,22,22,0,22,2,2,0.7340074906367039,0.7340074906367039,0.0,0.0953819751739502,1.0,1117360138,0.010782512,True,True,WorstCaseBaseline,False,3,0.06,61,23549190[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,True,False,1,False,True,False,False,False,False,False,True,False,Lazy,True,True,Samples,False,LP,Lazy,False,LP,True,2,Recursive,True,True,True,True,True,0.0,5,3
79.40074906367042,0.0,0.0,0,1,0.7540074906367041,0.0055222511291503,200,0.0056827068328857,0,0,0,0.0004920959472656,4,0.0008022785186767,0,0,0,0,1234,1813,0.0321078300476074,0.8145054,0.02,0.02,0.8145054159457418,0.0634551048278808,0.0673072195574438,0.7746014001927706,0.1072959899902343,0.1248626152506201,BendRegOCT,2026-07-09 12:51:33,spect,,,22,22,0,22,2,2,0.7540074906367039,0.7540074906367039,0.0,0.1141810417175293,1.0,-1129385969,0.01104064,True,True,WorstCaseBaseline,False,3,0.04,62,23549190[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,True,False,1,False,True,False,False,False,False,False,True,False,Lazy,True,True,Samples,False,LP,Lazy,False,LP,True,2,Recursive,True,True,True,True,True,0.0,5,3
79.40074906367042,0.0,0.0,0,1,0.7740074906367042,0.0055224895477294,440,0.0213527679443359,0,0,0,0.0025348663330078,324,0.0575635433197021,0,0,0,0,1234,1813,0.0324251651763916,0.8405554,0.02,0.03,0.840555386477858,0.0949378013610839,0.0929441562579383,0.8021228299380938,0.6227619647979736,0.6116159184645059,BendRegOCT,2026-07-09 12:51:33,spect,,,22,22,0,22,2,2,0.7740074906367039,0.7740074906367039,0.0,1.3589389324188232,262.0,1380006752,0.020957944,True,True,WorstCaseBaseline,False,3,0.02,63,23549190[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,True,False,1,False,True,False,False,False,False,False,True,False,Lazy,True,True,Samples,False,LP,Lazy,False,LP,True,2,Recursive,True,True,True,True,True,0.132064,6,5
