CART Obj,CART Runtime,Benders Cuts - Cuts Added,Benders Cuts - Time,Cut Set Callback - Cuts Added,Cut Set Callback - Time,Cut Set Initial Cuts - Cuts,Cut Set Initial Cuts - Time,Initial Root Relaxation - Obj,Initial Root Relaxation - Time,Initial Root Relaxation - Work,Presolve Relaxation - Obj,Presolve Relaxation - Time,Presolve Relaxation - Work,Final Root Relaxation - Obj,Final Root Relaxation - Time,Final Root Relaxation - Work,Model,Begin Opt Time,Dataset,Encoding,Buckets,|F|,|F^C|,|F^N|,|F^B|,|K|,Model Status,Objective,Bound,Gap,Solve Time,Node Count,Fingerprint,Memory Usage,Warmstart,Polish Warmstart,Results Directory,Compare Relaxations,depth,lambda,Subjob id,Array Job id,TimeLimit,Threads,MIPGap,MIPFocus,Heuristics,NodeMethod,Method,Seed,NodeLimit,Benders Cuts-Enabled,Benders Cuts-Enhanced Cuts,Cut Set Callback-Enabled,Cut Set Callback-Solution Method,Cut Set Callback-Cut Type,Cut Set Initial Cuts-Enabled,Cut Set Initial Cuts-Solution Method,Solution Polishing - Solutions Found,Solution Polishing - Time,Solution Polishing-Enabled,Memory,Walltime,CPUtime
426.0,0.330608368,19,0.466138124,1077,0.104811907,0,0,0.94,0.12,0.0,0.8496,0.925285101,0.041937682,0.7032,1.240616083,0.303443219,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.5016,0.5016,0.0,2.870732069,579.0,1684886309,0.032669288,True,True,cbCutset,False,2,0.06,7,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,User,False,LP,,,,0.123712,163,6
426.0,0.330191374,18,0.30775857,1647,0.109127283,0,0,0.92,0.1,0.0,0.8,0.922214985,0.046314139,0.7352,1.070436954,0.1193513,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.4416,0.4416,0.0,2.83710885,481.0,1766314867,0.030903232,True,True,cbCutset,False,2,0.08,3,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,User,False,LP,,,,0.105808,164,6
196.0,0.328410864,20,0.474163532,81,1.192532301,0,0,0.92,0.1,0.0,0.830974729,0.914567947,0.017154626,0.830974729,1.772118092,0.024859291,BendRegOCT,11/08/2025 9:48,breast-cancer,,,9,9,0,38,2,2,0.627581227,0.627581227,0.0,3.938557148,853.0,-1711154810,0.020198632,True,True,cbCutset,False,3,0.08,240,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,Lazy,False,LP,,,,0.123672,161,9
196.0,0.328256369,20,0.474124432,81,1.200048208,0,0,0.92,0.1,0.0,0.830974729,0.914489031,0.017154626,0.830974729,1.779356003,0.024872896,BendRegOCT,11/08/2025 9:48,breast-cancer,,,9,9,0,38,2,2,0.627581227,0.627581227,0.0,3.948911905,849.0,-1711154810,0.020300128,True,True,cbCutset,False,3,0.08,241,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,User,False,LP,,,,0.123076,161,9
426.0,0.330601692,17,0.418123484,1333,0.100154161,0,0,0.94,0.12,0.0,0.8496,0.925297976,0.041937682,0.7952,1.057371855,0.097564179,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.5016,0.5016,0.0,4.01887393,558.0,1684886309,0.031729296,True,True,cbCutset,False,2,0.06,6,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,Lazy,False,LP,,,,0.131304,164,7
426.0,0.330546618,19,0.45987463,1077,1.334828138,0,0,0.94,0.12,0.0,0.8496,0.925284147,0.041937682,0.7032,2.091204166,0.303443219,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.5016,0.5016,0.0,4.06272316,579.0,1684886309,0.032670584,True,True,cbCutset,False,2,0.06,5,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,User,False,LP,,,,0.12464,164,7
196.0,0.33171773,22,0.497309685,81,0.078126192,0,0,0.96,0.1,0.0,0.910974729,0.897527933,0.01973142,0.910974729,1.040328979,0.024179673,BendRegOCT,11/08/2025 9:48,breast-cancer,,,9,9,0,38,2,2,0.667581227,0.667581227,0.0,4.110674858,1920.0,693051528,0.021701432,True,True,cbCutset,False,2,0.04,191,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,User,False,LP,,,,0.120836,160,13
426.0,0.351409197,34,0.478725672,1050,0.096913576,0,0,0.994,0.1,0.0,0.9848,0.918481112,0.048442195,0.8924,1.09792304,0.167093336,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6636,0.6636,0.0,4.259582043,1053.0,1436935916,0.031703136,True,True,cbCutset,False,2,0.006,27,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,User,False,LP,,,,0.105588,164,8
426.0,0.351405859,30,0.458199501,1275,0.101555824,0,0,0.994,0.1,0.0,0.9848,0.918484926,0.048442195,0.9572,1.046062946,0.071973304,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6636,0.6636,0.0,4.405303955,1018.0,1436935916,0.031668288,True,True,cbCutset,False,2,0.006,26,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,Lazy,False,LP,,,,0.105576,165,9
426.0,0.351486683,28,0.471364737,1327,0.103363752,0,0,0.992,0.1,0.0,0.98,0.918390989,0.030199222,0.896,1.081133127,0.107057011,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6576,0.6576,0.0,4.303035975,1012.0,1248535878,0.031781648,True,True,cbCutset,False,2,0.008,23,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,User,False,LP,,,,0.105596,165,9
426.0,0.33061552,40,0.634254694,1052,0.091085434,0,0,0.999,0.1,0.0,0.997333333,0.924218893,0.042154344,0.909,1.086856842,0.140503636,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6786,0.6786,0.0,4.471044064,1300.0,1789549566,0.031702656,True,True,cbCutset,False,2,0.001,39,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,User,False,LP,,,,0.128056,165,9
426.0,0.35139966,31,0.467682362,1276,0.101545095,0,0,0.996,0.1,0.0,0.989824,0.918514967,0.042378586,0.908,1.086340904,0.138784801,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6696,0.6696,0.0,4.507823944,1010.0,-1147522111,0.031654928,True,True,cbCutset,False,2,0.004,31,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,User,False,LP,,,,0.105616,164,9
426.0,0.340585709,17,0.349190474,1128,1.268461704,0,0,0.96,0.09,0.0,0.8992,0.913267851,0.026293437,0.8376,1.909428835,0.118455486,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.5616,0.5616,0.0,4.615473986,669.0,1959080391,0.029992672,True,True,cbCutset,False,2,0.04,9,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,User,False,LP,,,,0.11694,165,8
196.0,0.331600904,22,0.496365547,81,0.717633009,0,0,0.96,0.1,0.0,0.910974729,0.897163868,0.01973142,0.910974729,1.436269999,0.024179673,BendRegOCT,11/08/2025 9:48,breast-cancer,,,9,9,0,38,2,2,0.667581227,0.667581227,0.0,4.66028595,1920.0,693051528,0.02170212,True,True,cbCutset,False,2,0.04,189,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,User,False,LP,,,,0.121704,160,14
426.0,0.330629587,31,0.603710651,1145,0.093923092,0,0,0.9998,0.1,0.0,0.999466667,0.924194098,0.035100556,0.9194,1.100171089,0.160510185,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.681,0.681,0.0,4.754809141,1100.0,224121142,0.03110056,True,True,cbCutset,False,2,0.0002,55,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,User,False,LP,,,,0.134924,163,10
426.0,0.351403475,28,0.449505568,1255,0.100233555,0,0,0.998,0.1,0.0,0.9948,0.918505907,0.030624182,0.9692,1.046028137,0.079984629,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6756,0.6756,0.0,4.87421298,1075.0,1429742786,0.0313272,True,True,cbCutset,False,2,0.002,34,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,Lazy,False,LP,,,,0.13586,163,9
426.0,0.351381063,31,0.470844746,1067,0.097914457,0,0,0.998,0.1,0.0,0.9948,0.918431997,0.030624182,0.9276,1.07021904,0.128965354,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6756,0.6756,0.0,4.897510052,1136.0,1429742786,0.035087192,True,True,cbCutset,False,2,0.002,35,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,User,False,LP,,,,0.135652,163,9
426.0,0.338737488,28,0.479624748,1196,0.100254536,0,0,0.99,0.1,0.0,0.9748,0.922749996,0.038893655,0.8564,1.174613953,0.24601138,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6516,0.6516,0.0,4.908976078,1060.0,1306743289,0.031619632,True,True,cbCutset,False,2,0.01,19,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,User,False,LP,,,,0.117756,166,8
426.0,0.351414204,31,0.460721016,1437,0.104305506,0,0,0.996,0.1,0.0,0.989824,0.918488026,0.042378586,0.9632,1.046019077,0.068581715,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6696,0.6696,0.0,4.946125984,1291.0,-1147522111,0.031620016,True,True,cbCutset,False,2,0.004,30,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,Lazy,False,LP,,,,0.137696,165,9
426.0,0.351427555,29,0.460095644,1275,0.101671934,0,0,0.999,0.1,0.0,0.997333333,0.918483019,0.042154344,0.9722,1.046051025,0.065022466,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6786,0.6786,0.0,5.021626949,1012.0,1789549566,0.03195652,True,True,cbCutset,False,2,0.001,38,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,Lazy,False,LP,,,,0.138524,164,9
426.0,0.330651283,34,0.605451107,1145,0.093391418,0,0,0.9996,0.1,0.0,0.998933333,0.924145937,0.037710565,0.9188,1.100080967,0.163120869,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6804,0.6804,0.0,5.038209915,1295.0,431385231,0.031100592,True,True,cbCutset,False,2,0.0004,51,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,User,False,LP,,,,0.132612,165,10
426.0,0.335367441,17,0.447766304,1647,1.355098009,0,0,0.92,0.1,0.0,0.8,0.925089836,0.046314139,0.7352,1.942059994,0.119201192,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.4416,0.4416,0.0,5.249871016,608.0,1766314867,0.030870304,True,True,cbCutset,False,2,0.08,0,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,Lazy,False,LP,,,,0.127964,166,9
426.0,0.338786364,25,0.478561163,1639,0.112508297,0,0,0.99,0.1,0.0,0.9748,0.922758102,0.038893655,0.9452,1.055807114,0.06461504,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6516,0.6516,0.0,5.36055994,931.0,1306743289,0.031584592,True,True,cbCutset,False,2,0.01,18,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,Lazy,False,LP,,,,0.135676,166,9
426.0,0.351480007,34,0.496845245,1050,1.24146843,0,0,0.994,0.1,0.0,0.9848,0.921524048,0.048442195,0.8924,1.913378954,0.167093336,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6636,0.6636,0.0,5.404736042,1053.0,1436935916,0.031705648,True,True,cbCutset,False,2,0.006,25,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,User,False,LP,,,,0.130252,166,10
426.0,0.330660582,17,0.425516367,1333,1.407259941,0,0,0.94,0.12,0.0,0.8496,0.925283909,0.041937682,0.7952,1.960896969,0.097564179,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.5016,0.5016,0.0,5.364289999,558.0,1684886309,0.031731024,True,True,cbCutset,False,2,0.06,4,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,Lazy,False,LP,,,,0.129092,166,9
426.0,0.351509571,31,0.472869158,1813,0.111720562,0,0,0.992,0.1,0.0,0.98,0.9184618,0.030199222,0.9512,1.045055866,0.056915944,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6576,0.6576,0.0,5.48200798,966.0,1248535878,0.034027584,True,True,cbCutset,False,2,0.008,22,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,Lazy,False,LP,,,,0.137068,166,10
426.0,0.34061408,17,0.362521887,1153,0.1072855,0,0,0.96,0.09,0.0,0.8992,0.91327405,0.026293437,0.88,1.047393084,0.061126871,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.5616,0.5616,0.0,5.554803133,1159.0,1959080391,0.029953872,True,True,cbCutset,False,2,0.04,10,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,Lazy,False,LP,,,,0.131632,166,9
426.0,0.351350784,40,0.497810364,1052,1.241436243,0,0,0.999,0.1,0.0,0.997333333,0.918484926,0.042154344,0.909,1.897119999,0.140503636,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6786,0.6786,0.0,5.579879999,1300.0,1789549566,0.031704576,True,True,cbCutset,False,2,0.001,37,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,User,False,LP,,,,0.130204,164,10
426.0,0.351406574,31,0.466998816,1276,1.256001711,0,0,0.996,0.1,0.0,0.989824,0.918470144,0.042378586,0.908,1.896198988,0.138784801,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6696,0.6696,0.0,5.593470097,1010.0,-1147522111,0.031657312,True,True,cbCutset,False,2,0.004,29,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,User,False,LP,,,,0.131084,165,10
426.0,0.34052372,20,0.419321537,1301,0.11101222,0,0,0.98,0.09,0.0,0.9496,0.913386106,0.021567567,0.94,1.049293041,0.063107111,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6216,0.6216,0.0,5.597324133,848.0,-1192230064,0.030463224,True,True,cbCutset,False,2,0.02,14,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,Lazy,False,LP,,,,0.136108,166,10
426.0,0.004134893,17,0.128746986,1128,0.073983669,0,0,0.96,0.0,0.0,0.8992,0.063672066,0.026293437,0.8376,0.200505018,0.11845671,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.5616,0.5616,0.0,2.702085972,669.0,1959080391,0.029993168,True,True,cbCutset,False,2,0.04,11,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,User,False,LP,,,,0.126652,166,8
426.0,0.340496302,23,0.445383072,1301,1.353154659,0,0,0.98,0.09,0.0,0.9496,0.91336894,0.021567567,0.94,1.92671895,0.085185737,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6216,0.6216,0.0,5.639729977,853.0,-1192230064,0.030397096,True,True,cbCutset,False,2,0.02,13,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,User,False,LP,,,,0.128104,166,9
426.0,0.351501703,30,0.477151871,1275,1.279457092,0,0,0.994,0.1,0.0,0.9848,0.921597004,0.048442195,0.9572,1.857419968,0.071973304,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6636,0.6636,0.0,5.723420858,1018.0,1436935916,0.031669008,True,True,cbCutset,False,2,0.006,24,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,Lazy,False,LP,,,,0.135412,166,10
426.0,0.338720798,28,0.520214796,1327,1.346995592,0,0,0.992,0.1,0.0,0.98,0.922724962,0.030199222,0.896,1.988955021,0.107057011,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6576,0.6576,0.0,5.723239899,1012.0,1248535878,0.031783664,True,True,cbCutset,False,2,0.008,21,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,User,False,LP,,,,0.130044,166,9
426.0,0.330699205,35,0.615138769,1443,0.101402521,0,0,0.9998,0.1,0.0,0.999466667,0.924204111,0.035100556,0.9746,1.04867506,0.065400664,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.681,0.681,0.0,5.828037977,1093.0,224121142,0.032227,True,True,cbCutset,False,2,0.0002,54,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,Lazy,False,LP,,,,0.13762,164,11
426.0,0.330681324,31,0.59514904,1443,0.099612951,0,0,0.9994,0.1,0.0,0.9984,0.924205065,0.034306455,0.9734,1.04865098,0.064607637,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6798,0.6798,0.0,5.83613801,1087.0,1616356869,0.032106616,True,True,cbCutset,False,2,0.0006,46,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,Lazy,False,LP,,,,0.1374,165,11
426.0,0.330687284,34,0.605434895,1463,0.099872589,0,0,0.9999,0.1,0.0,0.999733333,0.924231052,0.038799046,0.9749,1.048671961,0.065200184,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6813,0.6813,0.0,5.933778048,1154.0,780375081,0.032332184,True,True,cbCutset,False,2,0.0001,58,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,Lazy,False,LP,,,,0.1375,164,11
426.0,0.330639601,38,0.645127058,1145,1.231441736,0,0,0.9992,0.1,0.0,0.997866667,0.924177885,0.042730526,0.9176,1.907687902,0.168142066,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6792,0.6792,0.0,5.970896959,1163.0,762080853,0.031102176,True,True,cbCutset,False,2,0.0008,41,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,User,False,LP,,,,0.133392,167,11
426.0,0.00416851,23,0.17061305,1301,0.078365088,0,0,0.98,0.0,0.0,0.9496,0.061002016,0.021567567,0.94,0.164636135,0.085185737,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6216,0.6216,0.0,3.109520912,853.0,-1192230064,0.030394744,True,True,cbCutset,False,2,0.02,15,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,Dual Inspection,User,False,LP,,,,0.128168,165,8
426.0,0.351334095,31,0.472435713,1067,1.218554974,0,0,0.998,0.1,0.0,0.9948,0.91842103,0.030624182,0.9276,1.875976086,0.128965354,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6756,0.6756,0.0,6.005999088,1136.0,1429742786,0.035089192,True,True,cbCutset,False,2,0.002,33,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,User,False,LP,,,,0.1384,166,10
426.0,0.35138464,28,0.451103687,1255,1.249239206,0,0,0.998,0.1,0.0,0.9948,0.918452024,0.030624182,0.9692,1.847161055,0.079984629,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6756,0.6756,0.0,6.022480965,1075.0,1429742786,0.031328976,True,True,cbCutset,False,2,0.002,32,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,Lazy,False,LP,,,,0.135608,166,10
426.0,0.338802576,28,0.529959679,1196,1.373859406,0,0,0.99,0.1,0.0,0.9748,0.922914982,0.038893655,0.8564,2.091393948,0.24601138,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6516,0.6516,0.0,6.069116116,1060.0,1306743289,0.031621856,True,True,cbCutset,False,2,0.01,17,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,User,False,LP,,,,0.129076,167,11
426.0,0.351447582,31,0.460609913,1437,1.288055182,0,0,0.996,0.1,0.0,0.989824,0.918504953,0.042378586,0.9632,1.852591991,0.068581715,BendRegOCT,11/08/2025 9:48,balance-scale,,,4,4,0,20,3,2,0.6696,0.6696,0.0,6.095675945,1291.0,-1147522111,0.031622112,True,True,cbCutset,False,2,0.004,28,9551130[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,LP,Lazy,False,LP,,,,0.137032,166,10
