CART Obj,CART Runtime,Benders Cuts - Cuts Added,Benders Cuts - Time,Minimum Node Support - Cuts Added,Minimum Node Support - Time,Solution Polishing - Solutions Found,Solution Polishing - Time,Path Bound Cutting Planes - Cuts Added,Path Bound Cutting Planes - Time,Cut Set Callback - Cuts Added,Cut Set Callback - Time,Cut Set Initial Cuts - Cuts,Cut Set Initial Cuts - Time,Initial Root Relaxation - Obj,Initial Root Relaxation - Time,Initial Root Relaxation - Work,Presolve Relaxation - Obj,Presolve Relaxation - Time,Presolve Relaxation - Work,Final Root Relaxation - Obj,Final Root Relaxation - Time,Final Root Relaxation - Work,Model,Begin Opt Time,Dataset,Encoding,Buckets,|F|,|F^C|,|F^N|,|F^B|,|K|,Model Status,Objective,Bound,Gap,Solve Time,Node Count,Fingerprint,Memory Usage,Warmstart,Polish Warmstart,Results Directory,Compare Relaxations,depth,lambda,Subjob id,Array Job id,TimeLimit,Threads,MIPGap,MIPFocus,Heuristics,NodeMethod,Method,Seed,NodeLimit,Benders Cuts-Enabled,Benders Cuts-Enhanced Cuts,Minimum Node Support-Enabled,Solution Polishing-Enabled,Solution Polishing-Check Validity,Leaf Bound-Enabled,Leaf Bound-EQP Bound,Leaf Bound-FlowOCT Bound,Leaf Bound-BendOCT Bound,Path Bound Cutting Planes-Enabled,Path Bound Cutting Planes-Endpoint Only,Path Bound Cutting Planes-Cut Type,Path Bound Cutting Planes-Bound Negative Samples,Path Bound Cutting Planes-Bound Structure,Path Bound Cutting Planes-Cut Focus,Cut Set Callback-Enabled,Cut Set Callback-Solution Method,Cut Set Callback-Cut Type,Cut Set Initial Cuts-Enabled,Cut Set Initial Cuts-Solution Method,EQP Initial Cuts-Enabled,EQP Initial Cuts-Features Removed,EQP Initial Cuts-H Variant,EQP Initial Cuts-Disaggregate Alpha,EQP Initial Cuts-Group Selection,Memory,Walltime,CPUtime,Instance Identifier,Unnamed: 0,job id,PBS Memory Usage,PBS Walltime,PBS CPUtime
0.6475812274368231,0.1526691913604736,1832,0.1158134937286377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9002888,0.03,0.0,0.8348736462093977,0.2377920150756836,0.0167399218488178,0.8063016446049044,0.365725040435791,0.1359302312299931,BendRegOCT,2025-09-06 08:17:28,breast-cancer,,,9,9,0,38,2,2,0.6475812274368231,0.6475812274368231,0.0,10.02749800682068,2766.0,159800025,0.041082808,True,True,EQPDABaseline,False,3,0.06,65.0,11931997[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,True,1,Recursive,True,False,0.12836,75.0,14.0,breast-cancer  3 0.06,,,,,
0.6475812274368231,0.0157208442687988,1199,0.0726673603057861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8244765,0.01,0.02,0.7753068592057801,0.1392939090728759,0.1689722921279299,0.7379368007486284,0.7894370555877686,0.9968301447157264,BendRegOCT,2025-09-06 08:17:40,breast-cancer,,,9,9,0,38,2,2,0.6475812274368231,0.6475812274368231,0.0,3.1115288734436035,479.0,882244419,0.042348832,True,True,EQPDABaseline,False,4,0.06,127.0,11931997[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,True,2,Recursive,True,False,0.0,7.0,6.0,breast-cancer  4 0.06,,,,,
0.6475812274368231,0.0163695812225341,1291,0.0784716606140136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8244765,0.06,0.09,0.7753068592057806,0.1805450916290283,0.2450226027733728,0.7228956375827438,2.2084128856658936,3.0591666622971125,BendRegOCT,2025-09-06 08:17:40,breast-cancer,,,9,9,0,38,2,2,0.6475812274368231,0.6475812274368231,0.0,5.4915289878845215,765.0,709257279,0.053452552,True,True,EQPDABaseline,False,4,0.06,126.0,11931997[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,True,2,Chain,True,False,0.152508,9.0,8.0,breast-cancer  4 0.06,,,,,
0.6475812274368231,0.0160253047943115,2080,0.1339509487152099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9002888,0.0,0.0,0.8348736462093915,0.0561830997467041,0.0333083717450879,0.8213357400722028,0.1038079261779785,0.0924301819702345,BendRegOCT,2025-09-06 08:17:39,breast-cancer,,,9,9,0,38,2,2,0.6475812274368231,0.6475812274368231,0.0,10.39296007156372,2558.0,394051625,0.048089376,True,True,EQPDABaseline,False,4,0.06,124.0,11931997[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,True,1,Chain,True,False,0.13646,14.0,13.0,breast-cancer  4 0.06,,,,,
0.667581227436823,0.1353797912597656,1890,0.1486437320709228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8444765,0.03,0.01,0.8153068592057848,0.2643690109252929,0.070296744628043,0.7803909080297573,0.9659888744354248,0.7260234385826695,BendRegOCT,2025-09-06 08:17:28,breast-cancer,,,9,9,0,38,2,2,0.6675812274368231,0.6675812274368231,0.0,25.169661045074463,4179.0,-135747250,0.05118348,True,True,EQPDABaseline,False,3,0.04,70.0,11931997[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,True,2,Chain,True,False,0.14808,91.0,28.0,breast-cancer  3 0.04,,,,,
0.667581227436823,0.1368110179901123,1635,0.1240682601928711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8444765,0.04,0.02,0.8153068592057853,0.264366865158081,0.0865745789774452,0.778824678538033,1.162017822265625,0.922608273484972,BendRegOCT,2025-09-06 08:17:28,breast-cancer,,,9,9,0,38,2,2,0.6675812274368231,0.6675812274368231,0.0,26.392719984054565,4678.0,1180680376,0.046593856,True,True,EQPDABaseline,False,3,0.04,71.0,11931997[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,True,2,Recursive,True,False,0.146904,92.0,29.0,breast-cancer  3 0.04,,,,,
0.4416,0.0059521198272705,1404,0.072538137435913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5152,0.18,0.29,0.510000000000003,1.3344569206237793,2.372783809487463,0.4619927902621723,33.96575593948364,59.39088710553461,BendRegOCT,2025-09-06 08:17:29,balance-scale,,,4,4,0,20,3,2,0.4416000000000001,0.4416000000000001,0.0,39.97706699371338,63.0,1257715515,0.25712728,True,True,EQPDABaseline,False,3,0.08,0.0,11931997[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,True,2,Chain,True,False,0.29358,127.0,44.0,balance-scale  3 0.08,,,,,
0.6275812274368231,0.0387206077575683,816,0.0796284675598144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8044765,0.09,0.09,0.7353068592057805,0.4886701107025146,0.2810187802761815,0.6668927911164239,2.8855600357055664,3.481570092021224,BendRegOCT,2025-09-06 08:18:10,breast-cancer,,,9,9,0,38,2,2,0.6275812274368231,0.6275812274368231,0.0,3.13128399848938,96.0,-290753161,0.043175992,True,True,EQPDABaseline,False,4,0.08,122.0,11931997[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,True,2,Chain,True,False,0.143968,70.0,7.0,breast-cancer  4 0.08,,,,,
0.5016,0.0117571353912353,585,0.0908567905426025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5596,0.46,0.38,0.5595877773326092,1.4527249336242676,1.5588010788001376,0.5595877773326092,2.182018995285034,2.821473116854235,BendRegOCT,2025-09-06 08:17:29,balance-scale,,,4,4,0,20,3,2,0.5016,0.5016,0.0,55.094200134277344,183.0,724014955,0.212435024,True,True,EQPDABaseline,False,3,0.06,3.0,11931997[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,True,2,Recursive,True,False,0.279572,142.0,58.0,balance-scale  3 0.06,,,,,
0.667581227436823,0.1207635402679443,2796,0.2265284061431884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9202888,0.03,0.0,0.8748736462093958,0.2556450366973877,0.0169550096458379,0.8545728038507907,0.4527740478515625,0.2207929600674518,BendRegOCT,2025-09-06 08:17:28,breast-cancer,,,9,9,0,38,2,2,0.6675812274368231,0.6675812274368231,0.0,58.82531189918518,17687.0,-140138261,0.041670648,True,True,EQPDABaseline,False,3,0.04,69.0,11931997[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,True,1,Recursive,True,False,0.146436,124.0,62.0,breast-cancer  3 0.04,,,,,
