Subjob id,Array Job id,Accuracy,Worst Class Accuracy,Benders Cuts - Cuts Added,Benders Cuts - Time,Solution Polishing - Solutions Found,Solution Polishing - Time,EQP Initial Cuts - Auxiliary Vars,EQP Initial Cuts - Cuts,EQP Initial Cuts - Time,Initial Root Relaxation - Obj,Initial Root Relaxation - Time,Initial Root Relaxation - Work,Presolve Relaxation - Obj,Presolve Relaxation - Time,Presolve Relaxation - Work,Final Root Relaxation - Obj,Final Root Relaxation - Time,Final Root Relaxation - Work,Model,Begin Opt Time,Dataset,Encoding,Buckets,|F|,|F^C|,|F^N|,|F^B|,|K|,Model Status,Objective,Bound,Gap,Solve Time,Node Count,Fingerprint,Memory Usage,Warmstart,Polish Warmstart,Results Directory,Compare Relaxations,depth,lambda,TimeLimit,Threads,MIPGap,MIPFocus,Heuristics,NodeMethod,Method,Seed,Presolve,NodeLimit,Benders Cuts-Enabled,Benders Cuts-Enhanced Cuts,Benders Cuts-Relax w,Benders Cuts-EC Level,Solution Polishing-Enabled,Solution Polishing-Check Validity,Solution Polishing-Use Cache,EQP Initial Cuts-Enabled,EQP Initial Cuts-Features Removed,EQP Initial Cuts-H Variant,EQP Initial Cuts-Disaggregate Alpha,EQP Initial Cuts-Group Selection,EQP Initial Cuts-Ignore Dataset Check,EQP Initial Cuts-Filter Dominated,EQP Initial Cuts-Beta Dependence,Memory,Walltime,CPUtime
182,23572848[].aqua,69.39,66.29,1939,0.2395308017730713,0,0,2955,4346,0.0757215023040771,0.6175927,0.09,0.14,0.6175927306454423,0.2922201156616211,0.287724996975069,0.5913038595427138,0.9432120323181152,0.9543426772501228,BendWorstOCT,2026-07-10 07:52:23,transfusion,Quantile Thresholds,5.0,4,0,4,16,2,2,0.542921348314607,0.5429213483146069,0.0,4.60924506187439,288.0,1069174496,0.045894336,False,False,EQP,False,3,0.04,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.155344,9,8
181,23572848[].aqua,64.17,60.88,2370,0.1898925304412841,0,0,2955,4346,0.0746707916259765,0.5904111,0.09,0.14,0.5904110694719518,0.2896928787231445,0.2838780319447644,0.5499100248041013,1.064985990524292,1.079376052659631,BendWorstOCT,2026-07-10 07:52:23,transfusion,Quantile Thresholds,5.0,4,0,4,16,2,2,0.4887719298245617,0.4887719298245617,0.0,2.482227087020874,122.0,235091976,0.04710448,False,False,EQP,False,3,0.06,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.153284,7,5
180,23572848[].aqua,64.17,60.88,1392,0.1040058135986328,0,0,2955,4346,0.0745372772216796,0.5638693,0.07,0.11,0.5638693194777378,0.2664217948913574,0.2533223924879578,0.509279074791055,1.004945993423462,1.1434579746226936,BendWorstOCT,2026-07-10 07:52:23,transfusion,Quantile Thresholds,5.0,4,0,4,16,2,2,0.4487719298245616,0.4487719298245616,0.0,1.604076862335205,55.0,1587630396,0.0334918,False,False,EQP,False,3,0.08,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.145524,6,5
209,23572848[].aqua,71.39,71.35,6782,4.618560552597046,0,0,5723,8498,0.1928787231445312,0.7274117,0.18,0.24,0.7274117371242264,0.7278769016265869,0.8432613253448644,0.7271726703197783,7.107703924179077,8.72517453024615,BendWorstOCT,2026-07-10 07:58:53,transfusion,Quantile Thresholds,5.0,4,0,4,16,2,9,0.7121831460674167,0.7216115593144631,0.0132387480651695,3600.001280069351,166759.0,-1547149177,0.377912208,False,False,EQP,False,4,0.0001,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.488876,3605,3574
208,23572848[].aqua,70.86,70.79,8021,5.454865217208862,0,0,5723,8498,0.1764142513275146,0.7266318,0.16,0.22,0.726631785742275,0.6754310131072998,0.7260217449829485,0.7259496453685588,3.069499969482422,3.645008917291162,BendWorstOCT,2026-07-10 07:58:53,transfusion,Quantile Thresholds,5.0,4,0,4,16,2,9,0.7054651685393262,0.7243943171785343,0.0268321520088669,3600.0015308856964,152938.0,-1397181722,0.518988424,False,False,EQP,False,4,0.0002,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.61022,3605,3575
207,23572848[].aqua,70.99,70.79,7238,4.604499340057373,0,0,5723,8498,0.1494221687316894,0.7250763,0.13,0.18,0.7250762598268231,0.6398999691009521,0.8061759422823777,0.7240703792202726,3.864799976348877,4.799462326639597,BendWorstOCT,2026-07-10 07:57:19,transfusion,Quantile Thresholds,5.0,4,0,4,16,2,9,0.7026657303370789,0.7195937530885397,0.0240911460750194,3600.001118898392,224765.0,-1283414174,0.538811952,False,False,EQP,False,4,0.0004,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.659736,3605,3576
206,23572848[].aqua,71.79,70.79,7786,5.456299781799316,0,0,5723,8498,0.1688690185546875,0.7235437,0.14,0.18,0.7235436809468455,0.8545711040496826,0.873384122776829,0.7221577741183157,3.265442132949829,3.491085519490028,BendWorstOCT,2026-07-10 07:57:19,transfusion,Quantile Thresholds,5.0,4,0,4,16,2,9,0.700065168539326,0.7176032384566674,0.0250520533023151,3600.0010809898376,152618.0,-562395905,0.529363512,False,False,EQP,False,4,0.0006,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.6234,3605,3572
205,23572848[].aqua,70.86,70.79,7749,3.74066162109375,0,0,5723,8498,0.1533198356628418,0.7220133,0.16,0.23,0.722013250834892,0.9130008220672609,1.02570205797768,0.720786704983316,3.365006923675537,4.10221608062753,BendWorstOCT,2026-07-10 07:56:49,transfusion,Quantile Thresholds,5.0,4,0,4,16,2,9,0.6974651685393258,0.7142465113313877,0.0240604743419752,3600.0021607875824,188247.0,-886114464,0.56965584,False,False,EQP,False,4,0.0008,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.67848,3605,3577
204,23572848[].aqua,70.72,70.22,7859,3.074448823928833,0,0,5723,8498,0.1566801071166992,0.7205158,0.16,0.23,0.7205157630756294,0.8455679416656494,1.0022657106196209,0.7186446740033018,3.410965919494629,4.035632863060766,BendWorstOCT,2026-07-10 07:56:20,transfusion,Quantile Thresholds,5.0,4,0,4,16,2,9,0.691247191011236,0.7122099143370244,0.0303259435964169,3600.0010747909546,175182.0,-1794967558,0.587066968,False,False,EQP,False,4,0.001,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.665868,3606,3578
203,23572848[].aqua,70.32,70.22,5829,3.4003074169158936,0,0,5723,8498,0.1646640300750732,0.7137735,0.22,0.3,0.7137735413240505,0.8038361072540283,1.0048995902691644,0.7085710775116119,3.33183217048645,3.9724566756605566,BendWorstOCT,2026-07-10 07:56:20,transfusion,Quantile Thresholds,5.0,4,0,4,16,2,9,0.684247191179461,0.6978012122717449,0.0198086616459766,3600.0010969638824,136433.0,-819073347,0.442010192,False,False,EQP,False,4,0.002,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.517644,3606,3577
202,23572848[].aqua,69.25,69.1,6915,2.64001727104187,0,0,5723,8498,0.1671795845031738,0.7020065,0.2,0.26,0.7020065409531716,0.8065860271453857,0.8318189414584115,0.6922202642505421,3.1424880027771,3.4946705182478017,BendWorstOCT,2026-07-10 07:56:20,transfusion,Quantile Thresholds,5.0,4,0,4,16,2,9,0.6670112359550563,0.6775010756867916,0.0157266312264073,3600.0011990070343,127111.0,1730513370,0.494258512,False,False,EQP,False,4,0.004,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.589096,3606,3576
