CART Obj,CART Runtime,Benders Cuts - Cuts Added,Benders Cuts - Time,Solution Polishing - Solutions Found,Solution Polishing - Time,Path Bound Cutting Planes - Cuts Added,Path Bound Cutting Planes - Time,Cut Set Callback - Cuts Added,Cut Set Callback - Time,Cut Set Initial Cuts - Cuts,Cut Set Initial Cuts - Time,Initial Root Relaxation - Obj,Initial Root Relaxation - Time,Initial Root Relaxation - Work,Presolve Relaxation - Obj,Presolve Relaxation - Time,Presolve Relaxation - Work,Final Root Relaxation - Obj,Final Root Relaxation - Time,Final Root Relaxation - Work,Model,Begin Opt Time,Dataset,Encoding,Buckets,|F|,|F^C|,|F^N|,|F^B|,|K|,Model Status,Objective,Bound,Gap,Solve Time,Node Count,Fingerprint,Memory Usage,Warmstart,Polish Warmstart,Results Directory,Compare Relaxations,depth,lambda,Subjob id,Array Job id,TimeLimit,Threads,MIPGap,MIPFocus,Heuristics,NodeMethod,Method,Seed,NodeLimit,Benders Cuts-Enabled,Benders Cuts-Enhanced Cuts,Solution Polishing-Enabled,Solution Polishing-Check Validity,Leaf Bound-Enabled,Path Bound Cutting Planes-Enabled,Path Bound Cutting Planes-Endpoint Only,Path Bound Cutting Planes-Cut Type,Path Bound Cutting Planes-Bound Negative Samples,Path Bound Cutting Planes-Bound Structure,Path Bound Cutting Planes-Minimum Support,Cut Set Callback-Enabled,Cut Set Callback-Solution Method,Cut Set Callback-Cut Type,Cut Set Initial Cuts-Enabled,Cut Set Initial Cuts-Solution Method,Memory,Walltime,CPUtime
0.6917278106508875,0.0359735488891601,1049,0.4528741836547851,2,0.0223703384399414,378,0.0476686954498291,0,0,0,0,0.994,0.11,0.0,0.9880000000000018,0.9984610080718994,0.0100079929409056,0.985041420118345,1.0159108638763428,0.0232359174748713,BendRegOCT,2025-08-24 20:34:01,monk2,,,6,6,0,15,2,2,0.7153964497041424,0.7153964497041424,0.0,1.4173998832702637,304.0,-56922999,0.012173728,True,True,PBCPBaselineAll,False,3,0.006,433,11043774[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,True,False,Lazy,True,True,False,False,LP,Lazy,False,LP,0.103772,53,8
0.9701379310344828,0.0372676849365234,1133,0.4654743671417236,2,0.0050714015960693,376,0.0474600791931152,0,0,0,0,0.999,0.11,0.0,0.997499999999997,1.013098955154419,0.0159064097281012,0.9961666666666636,1.077666997909546,0.061155192230019,BendRegOCT,2025-08-24 20:34:01,house-votes-84,,,16,16,0,16,2,2,0.9714482758620684,0.9714482758620684,0.0,1.419551134109497,326.0,-1946020345,0.022441432,True,True,PBCPBaselineAll,False,3,0.001,258,11043774[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,True,True,Lazy,True,True,False,False,LP,Lazy,False,LP,0.098032,61,6
0.9737379310344828,0.0372822284698486,1269,0.4658687114715576,2,0.0046093463897705,392,0.047368049621582,0,0,0,0,0.9999,0.11,0.0,0.9997499999999968,1.0131092071533203,0.0159063396981012,0.9996166666666636,1.078667163848877,0.0611235436614912,BendRegOCT,2025-08-24 20:34:01,house-votes-84,,,16,16,0,16,2,2,0.9777482758620684,0.9777482758620684,0.0,1.4267311096191406,305.0,29505411,0.019037328,True,True,PBCPBaselineAll,False,3,0.0001,269,11043774[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,True,False,Lazy,True,True,False,False,LP,Lazy,False,LP,0.09744,59,6
0.8498275862068966,0.0354378223419189,469,0.4320449829101562,0,0.0006816387176513,4,0.00059175491333,0,0,0,0,0.94,0.13,0.0,0.8670689655172461,1.0144729614257812,0.0065855266088382,0.859256465517245,1.0164320468902588,0.0085402437541817,BendRegOCT,2025-08-24 20:34:01,house-votes-84,,,16,16,0,16,2,2,0.8498275862068962,0.8498275862068962,0.0,1.03352689743042,1.0,-1898960513,0.004713104,True,True,PBCPBaselineAll,False,3,0.06,242,11043774[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,True,True,Lazy,True,True,False,False,LP,Lazy,False,LP,0.097316,58,6
0.6013017751479289,0.0359168052673339,1032,0.4536111354827881,3,0.0122568607330322,230,0.0263845920562744,0,0,0,0,0.98,0.11,0.0,0.960000000000002,0.998291015625,0.0119084117866536,0.9532375316990724,1.0159430503845217,0.0227659718771731,BendRegOCT,2025-08-24 20:34:01,monk2,,,6,6,0,15,2,2,0.625562130177515,0.625562130177515,0.0,1.2243728637695312,155.0,1764251637,0.013386784,True,True,PBCPBaselineAll,False,3,0.02,427,11043774[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,True,False,Lazy,True,True,False,False,LP,Lazy,False,LP,0.10392,53,8
0.7112903225806451,0.0934321880340576,657,0.4279484748840332,0,0.0027778148651123,288,0.0338599681854248,0,0,0,0,0.96,0.07,0.0,0.919999999999999,0.9999508857727052,0.0050169126210344,0.8666676666666658,1.0296149253845217,0.0130947562087115,BendRegOCT,2025-08-24 20:34:01,monk1,,,6,6,0,15,2,2,0.711290322580645,0.711290322580645,0.0,1.2315459251403809,223.0,-135511802,0.009313784,True,True,PBCPBaselineAll,False,3,0.04,365,11043774[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,True,False,Lazy,True,True,False,False,LP,Lazy,False,LP,0.104608,53,9
0.8098275862068965,0.03739595413208,469,0.4283695220947265,0,0.0007314682006835,4,0.0010240077972412,0,0,0,0,0.92,0.11,0.0,0.8270689655172389,1.0064599514007568,0.0077795746506762,0.8177676950998164,1.0089850425720217,0.0098149614108187,BendRegOCT,2025-08-24 20:34:01,house-votes-84,,,16,16,0,16,2,2,0.8098275862068961,0.8098275862068961,0.0,1.0309460163116455,1.0,917319357,0.003669664,True,True,PBCPBaselineAll,False,4,0.08,271,11043774[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,True,False,Lazy,True,True,False,False,LP,Lazy,False,LP,0.097416,59,6
0.6777278106508875,0.035856008529663,1076,0.4535963535308838,2,0.0176820755004882,386,0.0512819290161132,0,0,0,0,0.992,0.11,0.0,0.9840000000000018,0.9981448650360109,0.0100377880768272,0.9810414201183448,1.016023874282837,0.0235257697134519,BendRegOCT,2025-08-24 20:34:01,monk2,,,6,6,0,15,2,2,0.7013964497041424,0.7013964497041424,0.0,1.466372013092041,324.0,1809215035,0.013739096,True,True,PBCPBaselineAll,False,3,0.008,430,11043774[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,True,True,Lazy,True,True,False,False,LP,Lazy,False,LP,0.103888,53,8
0.9725379310344828,0.0373413562774658,1154,0.4633145332336426,1,0.0049676895141601,454,0.0562696456909179,0,0,0,0,0.9996,0.11,0.0,0.9989999999999968,1.0131590366363523,0.0159012393081012,0.9984666666666636,1.0785210132598877,0.0612535768382766,BendRegOCT,2025-08-24 20:34:01,house-votes-84,,,16,16,0,16,2,2,0.9756482758620684,0.9756482758620686,0.0,1.473146915435791,392.0,-79611893,0.018092952,True,True,PBCPBaselineAll,False,3,0.0004,264,11043774[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,True,True,Lazy,True,True,False,False,LP,Lazy,False,LP,0.098144,60,6
0.8712903225806451,0.0936830043792724,571,0.4247071743011474,0,0.002305269241333,286,0.0363523960113525,0,0,0,0,0.992,0.07,0.0,0.9839999999999992,0.9956178665161132,0.0030032186798868,0.9679999999999992,1.0286998748779297,0.0174321522375139,BendRegOCT,2025-08-24 20:34:01,monk1,,,6,6,0,15,2,2,0.8712903225806449,0.8712903225806449,0.0,1.1758849620819092,220.0,988400693,0.008381704,True,True,PBCPBaselineAll,False,3,0.008,370,11043774[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,True,True,Lazy,True,True,False,False,LP,Lazy,False,LP,0.104588,52,9
