CART Obj,CART Runtime,Benders Cuts - Cuts Added,Benders Cuts - Time,Minimum Node Support - Cuts Added,Minimum Node Support - Time,Solution Polishing - Solutions Found,Solution Polishing - Time,Path Bound Cutting Planes - Cuts Added,Path Bound Cutting Planes - Time,Cut Set Callback - Cuts Added,Cut Set Callback - Time,Cut Set Initial Cuts - Cuts,Cut Set Initial Cuts - Time,EQP Initial Cuts - Cuts,EQP Initial Cuts - Time,Initial Root Relaxation - Obj,Initial Root Relaxation - Time,Initial Root Relaxation - Work,Presolve Relaxation - Obj,Presolve Relaxation - Time,Presolve Relaxation - Work,Final Root Relaxation - Obj,Final Root Relaxation - Time,Final Root Relaxation - Work,Model,Begin Opt Time,Dataset,Encoding,Buckets,|F|,|F^C|,|F^N|,|F^B|,|K|,Model Status,Objective,Bound,Gap,Solve Time,Node Count,Fingerprint,Memory Usage,Warmstart,Polish Warmstart,Results Directory,Compare Relaxations,depth,lambda,Subjob id,Array Job id,TimeLimit,Threads,MIPGap,MIPFocus,Heuristics,NodeMethod,Method,Seed,NodeLimit,Benders Cuts-Enabled,Benders Cuts-Enhanced Cuts,Benders Cuts-EC Level,Minimum Node Support-Enabled,Solution Polishing-Enabled,Solution Polishing-Check Validity,Leaf Bound-Enabled,Leaf Bound-EQP Bound,Leaf Bound-FlowOCT Bound,Leaf Bound-BendOCT Bound,Path Bound Cutting Planes-Enabled,Path Bound Cutting Planes-Endpoint Only,Path Bound Cutting Planes-Cut Type,Path Bound Cutting Planes-Bound Negative Samples,Path Bound Cutting Planes-Bound Structure,Path Bound Cutting Planes-Cut Focus,Cut Set Callback-Enabled,Cut Set Callback-Solution Method,Cut Set Callback-Cut Type,Cut Set Initial Cuts-Enabled,Cut Set Initial Cuts-Solution Method,EQP Initial Cuts-Enabled,EQP Initial Cuts-Features Removed,EQP Initial Cuts-H Variant,EQP Initial Cuts-Disaggregate Alpha,EQP Initial Cuts-Group Selection,Memory,Walltime,CPUtime
0.6275812274368231,0.0161972045898437,1931,0.1113696098327636,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0.0,0.0,0.8300722021660705,0.0504570007324218,0.0127109662900968,0.8300722021660705,0.0703370571136474,0.0256031587863748,BendRegOCT,2025-09-23 16:15:44,breast-cancer,,,9,9,0,38,2,2,0.6275812274368231,0.6275812274368231,0.0,1.2302110195159912,402.0,1438610771,0.020446304,True,True,EnhancedCuts,False,4,0.08,90,12811232[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,True,1,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,False,0,Chain,False,False,0.1242,80,6
0.9298275862068964,0.0045304298400878,625,0.0226469039916992,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.0,0.0,0.9515967016491726,0.0342230796813964,0.0181982009042364,0.939207283984708,0.1009430885314941,0.0760616621919253,BendRegOCT,2025-09-23 16:15:44,house-votes-84,,,16,16,0,16,2,2,0.9298275862068962,0.9298275862068962,0.0,0.1121702194213867,13.0,-96783261,0.010176944,True,True,EnhancedCuts,False,3,0.02,247,12811232[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,True,2,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,False,0,Chain,False,False,0.111412,37,4
0.6275812274368231,0.0090012550354003,1936,0.1148340702056884,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0.0,0.0,0.8308106334099169,0.0547928810119628,0.0100638870064263,0.8302527075812329,0.0811719894409179,0.0282012452063877,BendRegOCT,2025-09-23 16:15:47,breast-cancer,,,9,9,0,38,2,2,0.6275812274368231,0.6275812274368231,0.0,1.9602069854736328,402.0,-2030393205,0.019456088,True,True,EnhancedCuts,False,3,0.08,61,12811232[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,True,2,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,False,0,Chain,False,False,0.118676,90,7
0.6275812274368231,0.010408878326416,1897,0.1155548095703125,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0.03,0.0,0.8308106334099169,0.2109909057617187,0.0100490336064263,0.8302527075812329,0.2530579566955566,0.0268910498632816,BendRegOCT,2025-09-23 16:15:45,breast-cancer,,,9,9,0,38,2,2,0.6275812274368231,0.6275812274368231,0.0,2.038149118423462,566.0,-2030393205,0.017450568,True,True,EnhancedCuts,False,3,0.08,60,12811232[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,True,1,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,False,0,Chain,False,False,0.120304,90,7
0.9538275862068966,0.0044801235198974,1367,0.0622181892395019,0,0,0,0,0,0,0,0,0,0,0,0,0.992,0.0,0.0,0.9799999999999968,0.0212481021881103,0.006580946274458,0.974501599715603,0.054880142211914,0.0322995073402088,BendRegOCT,2025-09-23 16:15:44,house-votes-84,,,16,16,0,16,2,2,0.953827586206896,0.953827586206896,0.0,0.8232860565185547,809.0,2061996824,0.019346736,True,True,EnhancedCuts,False,3,0.008,251,12811232[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,True,2,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,False,0,Chain,False,False,0.120244,40,5
0.9498275862068966,0.0044584274291992,1268,0.0537111759185791,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.0,0.0,0.975159151193631,0.0293118953704834,0.0138650732240652,0.9681556948798298,0.057805061340332,0.0382303084761675,BendRegOCT,2025-09-23 16:15:45,house-votes-84,,,16,16,0,16,2,2,0.949827586206896,0.949827586206896,0.0,0.2746369838714599,239.0,-321570166,0.017553712,True,True,EnhancedCuts,False,3,0.01,248,12811232[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,True,1,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,False,0,Chain,False,False,0.115956,40,4
0.9578275862068966,0.004528522491455,1445,0.1133341789245605,0,0,0,0,0,0,0,0,0,0,0,0,0.994,0.15,0.0,0.9849999999999968,1.0723321437835691,0.0110194359421099,0.9806313353390388,1.1117441654205322,0.0357766114067057,BendRegOCT,2025-09-23 16:15:41,house-votes-84,,,16,16,0,16,2,2,0.957827586206896,0.957827586206896,0.0,3.874385118484497,2565.0,1035988717,0.020421184,True,True,EnhancedCuts,False,3,0.006,253,12811232[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,True,2,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,False,0,Chain,False,False,0.119048,39,7
0.3357575757575758,0.004152774810791,1358,0.0767920017242431,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0.15,0.0,0.8399999999999993,0.361825942993164,0.0036641363096479,0.7733712121212114,0.4252080917358398,0.0244914834515585,BendRegOCT,2025-09-23 16:15:42,hayes-roth,,,4,4,0,15,3,2,0.3357575757575757,0.3357575757575757,0.0,13.505060911178589,6561.0,-1539734941,0.02817828,True,True,EnhancedCuts,False,3,0.08,181,12811232[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,True,2,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,False,0,Chain,False,False,0.123224,87,17
0.9578275862068966,0.0285267829895019,1711,0.163003921508789,0,0,0,0,0,0,0,0,0,0,0,0,0.994,0.15,0.0,0.9849999999999968,1.3255209922790527,0.0110194359421099,0.9806313353390388,1.3648221492767334,0.0350371591787169,BendRegOCT,2025-09-23 16:15:41,house-votes-84,,,16,16,0,16,2,2,0.957827586206896,0.957827586206896,0.0,3.459373950958252,1742.0,1035988717,0.022591568,True,True,EnhancedCuts,False,3,0.006,252,12811232[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,True,1,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,False,0,Chain,False,False,0.121012,39,6
0.9618275862068966,0.0284647941589355,1735,0.1774568557739257,0,0,0,0,0,0,0,0,0,0,0,0,0.996,0.15,0.0,0.9899999999999968,1.3255219459533691,0.0093849811447176,0.986720812182738,1.37847900390625,0.0410823094864388,BendRegOCT,2025-09-23 16:15:41,house-votes-84,,,16,16,0,16,2,2,0.961827586206896,0.961827586206896,0.0,17.966400861740112,12983.0,-198688087,0.034006744,True,True,EnhancedCuts,False,3,0.004,255,12811232[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,True,2,False,False,False,False,False,False,False,False,True,Lazy,False,False,Samples,False,LP,Lazy,False,LP,False,0,Chain,False,False,0.135324,40,20
