Accuracy,Worst Class Accuracy,Average Leaf Depth,Max Leaf Depth,Leaves Used,CART Obj,CART Runtime,Benders Cuts - Cuts Added,Benders Cuts - Time,Solution Polishing - Solutions Found,Solution Polishing - Time,EQP Initial Cuts - Auxiliary Vars,EQP Initial Cuts - Cuts,EQP Initial Cuts - Time,Initial Root Relaxation - Obj,Initial Root Relaxation - Time,Initial Root Relaxation - Work,Presolve Relaxation - Obj,Presolve Relaxation - Time,Presolve Relaxation - Work,Final Root Relaxation - Obj,Final Root Relaxation - Time,Final Root Relaxation - Work,Model,Begin Opt Time,Dataset,Encoding,Buckets,|F|,|F^C|,|F^N|,|F^B|,|K|,Model Status,Objective,Bound,Gap,Solve Time,Node Count,Fingerprint,Memory Usage,Warmstart,Polish Warmstart,Results Directory,Compare Relaxations,depth,lambda,Subjob id,Array Job id,TimeLimit,Threads,MIPGap,MIPFocus,Heuristics,NodeMethod,Method,Seed,Presolve,NodeLimit,Benders Cuts-Enabled,Benders Cuts-Enhanced Cuts,Benders Cuts-Relax w,Benders Cuts-EC Level,Solution Polishing-Enabled,Solution Polishing-Check Validity,Solution Polishing-Use Cache,EQP Initial Cuts-Enabled,EQP Initial Cuts-Features Removed,EQP Initial Cuts-H Variant,EQP Initial Cuts-Disaggregate Alpha,EQP Initial Cuts-Group Selection,EQP Initial Cuts-Ignore Dataset Check,EQP Initial Cuts-Filter Dominated,EQP Initial Cuts-Beta Dependence,Memory,Walltime,CPUtime
68.23104693140795,67.90123456790124,1.6666666666666667,2,3,0.6275812274368231,0.0088818073272705,3180,0.2837188243865967,0,0,0,0,0,0.92,0.0,0.0,0.8277474081055571,0.0552101135253906,0.0181500058731517,0.8277474081055571,0.0897631645202636,0.0452347763682364,BendWorstOCT,2026-07-09 18:52:49,breast-cancer,,,9,9,0,38,2,2,0.4390123456790131,0.4390123456790131,0.0,106.8364109992981,7970.0,-137375750,0.050075656,True,False,Baseline,False,3,0.08,0,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.152788,114,111
68.23104693140795,67.90123456790124,1.6666666666666667,2,3,0.6475812274368231,0.0194058418273925,3381,0.3751816749572754,0,0,0,0,0,0.94,0.26,0.0,0.8674537695590282,1.4885139465332031,0.0171305226387653,0.8674537695590282,1.794522047042847,0.048084464807577,BendWorstOCT,2026-07-09 18:54:03,breast-cancer,,,9,9,0,38,2,2,0.4990123461287171,0.4990123461287171,0.0,177.8604850769043,20121.0,-850716219,0.042187824,True,False,Baseline,False,3,0.06,1,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.15146,259,189
34.56,30.55555555555556,1.6666666666666667,2,3,0.4416,0.0055363178253173,5172,0.4337654113769531,0,0,0,0,0,0.92,0.0,0.0,0.7887697886934723,0.0655019283294677,0.022756663266595,0.7810962301587279,0.0939369201660156,0.0569386693215443,BendWorstOCT,2026-07-09 18:57:40,balance-scale,,,4,4,0,20,3,2,0.0655555556621105,0.0655555556621105,0.0,163.81697297096252,24301.0,-1156301617,0.05035096,True,False,Baseline,False,3,0.08,30,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.165016,170,166
68.95306859205776,67.90123456790124,1.6666666666666667,2,3,0.667581227436823,0.0083322525024414,3668,0.3322629928588867,0,0,0,0,0,0.96,0.0,0.0,0.9090799849793426,0.056110143661499,0.0175896218906726,0.908223554906008,0.1003031730651855,0.0492147224746057,BendWorstOCT,2026-07-09 18:53:09,breast-cancer,,,9,9,0,38,2,2,0.5590123456790131,0.5590123456790131,0.0,478.5259370803833,68468.0,1527241014,0.052392184,True,False,Baseline,False,3,0.04,2,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.165816,483,478
68.95306859205776,67.90123456790124,1.6666666666666667,2,3,0.6275812274368231,0.0154523849487304,6009,0.5709762573242188,0,0,0,0,0,0.92,0.0,0.0,0.8277474081055577,0.0599689483642578,0.0272355990463271,0.8277474081055577,0.111361026763916,0.0642662224381405,BendWorstOCT,2026-07-09 18:54:49,breast-cancer,,,9,9,0,38,2,2,0.4390123458229139,0.4390123458229139,0.0,443.5383648872376,20293.0,1530904010,0.07813548,True,False,Baseline,False,4,0.08,15,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.191332,463,444
73.78277153558052,72.64150943396227,1.6666666666666667,2,3,0.7140074906367042,0.0060021877288818,1596,0.1469364166259765,0,0,0,0,0,0.92,0.0,0.0,0.7648383344963989,0.0410950183868408,0.0164694940469306,0.7637286612758354,0.0662651062011718,0.032065928638104,BendWorstOCT,2026-07-09 19:04:03,spect,,,22,22,0,22,2,2,0.4864150943396251,0.4864150943396251,0.0,1.7119300365447998,716.0,2030639753,0.020849048,True,False,Baseline,False,3,0.08,60,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.051312,7,6
80.52434456928839,78.18181818181819,2.25,3,4,0.7540074906367041,0.0060968399047851,1925,0.2074735164642334,0,0,0,0,0,0.96,0.0,0.0,0.8802194891201564,0.0442578792572021,0.0194631247713787,0.7977396888049914,0.1387138366699218,0.0989922744613008,BendWorstOCT,2026-07-09 19:04:03,spect,,,22,22,0,22,2,2,0.6218181818181819,0.6218181818181819,0.0,9.47709584236145,2901.0,-246516354,0.033264696,True,False,Baseline,False,3,0.04,62,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.130164,15,13
73.78277153558052,72.64150943396227,1.6666666666666667,2,3,0.7340074906367042,0.0059206485748291,1811,0.2208602428436279,0,0,0,0,0,0.94,0.0,0.0,0.8225396145610326,0.0439090728759765,0.0206856357414481,0.7239338944512544,0.1815102100372314,0.1523984408515639,BendWorstOCT,2026-07-09 19:04:03,spect,,,22,22,0,22,2,2,0.5464150943396229,0.5464150943396229,0.0,10.08940601348877,1890.0,-414171546,0.039576736,True,False,Baseline,False,3,0.06,61,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.139648,16,14
80.52434456928839,78.18181818181819,2.25,3,4,0.7740074906367042,0.0053961277008056,2003,0.1963808536529541,0,0,0,0,0,0.98,0.0,0.0,0.9200692779110096,0.0446181297302246,0.0133078283050644,0.9200692779110096,0.0832209587097168,0.0387584204819609,BendWorstOCT,2026-07-09 19:04:34,spect,,,22,22,0,22,2,2,0.701818181818182,0.7018181818181819,0.0,21.12761306762696,9617.0,-1698984565,0.043848536,True,False,Baseline,False,3,0.02,63,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.148868,27,24
35.2,30.55555555555556,1.6666666666666667,2,3,0.5016,0.0055408477783203,7123,0.7672674655914307,0,0,0,0,0,0.94,0.0,0.0,0.8462068965517245,0.0685122013092041,0.025720240984811,0.8462068965517245,0.0861761569976806,0.0477731744616926,BendWorstOCT,2026-07-09 18:57:40,balance-scale,,,4,4,0,20,3,2,0.1255555557806666,0.1255555557806666,0.0,440.9679071903229,62443.0,421706915,0.06928664,True,False,Baseline,False,3,0.06,31,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.183316,446,441
