CART Obj,CART Runtime,Benders Cuts - Cuts Added,Benders Cuts - Time,Solution Polishing - Solutions Found,Solution Polishing - Time,Cut Set Callback - Cuts Added,Cut Set Callback - Time,Cut Set Initial Cuts - Cuts,Cut Set Initial Cuts - Time,Initial Root Relaxation - Obj,Initial Root Relaxation - Time,Initial Root Relaxation - Work,Presolve Relaxation - Obj,Presolve Relaxation - Time,Presolve Relaxation - Work,Final Root Relaxation - Obj,Final Root Relaxation - Time,Final Root Relaxation - Work,Model,Begin Opt Time,Dataset,Encoding,Buckets,|F|,|F^C|,|F^N|,|F^B|,|K|,Model Status,Objective,Bound,Gap,Solve Time,Node Count,Fingerprint,Memory Usage,Warmstart,Polish Warmstart,Results Directory,Compare Relaxations,depth,lambda,Subjob id,Array Job id,TimeLimit,Threads,MIPGap,MIPFocus,Heuristics,NodeMethod,Method,Seed,NodeLimit,Benders Cuts-Enabled,Benders Cuts-Enhanced Cuts,Solution Polishing-Enabled,Solution Polishing-Check Validity,Cut Set Callback-Enabled,Cut Set Callback-Solution Method,Cut Set Callback-Cut Type,Cut Set Initial Cuts-Enabled,Cut Set Initial Cuts-Solution Method,Memory,Walltime,CPUtime
225.0,0.0761916637420654,1299,0.0772500038146972,0,0.0031173229217529,0,0,0,0,0.99,0.23,0.0,0.975159151193632,1.0822548866271973,0.0141773711214635,0.9684443573667691,1.1419758796691897,0.0416323417311992,BendRegOCT,2025-08-16 10:07:37,house-votes-84,,,16,16,0,16,2,2,0.949827586206896,0.949827586206896,0.0,1.4246468544006348,336.0,1170709356,0.018623424,True,True,SPNoValCheck,False,3,0.01,124,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.113972,74,5
196.0,0.079552412033081,2065,0.1386082172393798,0,0.0041966438293457,0,0,0,0,0.92,0.22,0.0,0.8309747292418909,0.8782930374145508,0.0171546262843028,0.8309747292418909,1.0764949321746826,0.0248197220730843,BendRegOCT,2025-08-16 10:07:37,breast-cancer,,,9,9,0,38,2,2,0.6275812274368231,0.6275812274368231,0.0,2.9021148681640625,853.0,-1711154810,0.02019852,True,True,SPNoValCheck,False,3,0.08,30,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.121776,77,5
132.0,0.0610010623931884,879,0.0623581409454345,0,0.0066704750061035,0,0,0,0,0.92,0.08,0.0,0.8013333333333322,0.5061101913452148,0.0069903126161555,0.745499999999999,0.556704044342041,0.0576949638295774,BendRegOCT,2025-08-16 10:07:44,iris,Quantile Buckets,5.0,4,0,4,20,3,2,0.5600000000000003,0.5600000000000003,0.0,1.1229710578918457,521.0,939531040,0.013087032,True,True,SPNoValCheck,False,3,0.08,360,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.116804,39,4
114.0,0.0796072483062744,892,0.0588159561157226,0,0.0049090385437011,0,0,0,0,0.98,0.29,0.0,0.9599999999999994,1.046046018600464,0.0022026972993708,0.9599999999999994,1.0774211883544922,0.0054332843362672,BendRegOCT,2025-08-16 10:07:37,monk3,,,6,6,0,15,2,2,0.8744262295081966,0.8744262295081966,0.0,1.6999192237854004,1178.0,147100175,0.010720408,True,True,SPNoValCheck,False,3,0.02,243,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.112792,59,4
47.0,0.0395774841308593,239,0.028449535369873,0,0.0012717247009277,0,0,0,0,0.992,0.13,0.0,0.9808,0.5169649124145508,0.0052753362959901,0.9760000000000002,0.5963869094848633,0.0788190966681376,BendRegOCT,2025-08-16 10:07:44,soybean-small,,,21,21,0,45,4,2,0.9680000000000004,0.9680000000000004,0.0,0.6203908920288086,21.0,-1161012286,0.009265824,True,True,SPNoValCheck,False,3,0.008,275,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.093988,59,4
47.0,0.0091655254364013,204,0.02268648147583,0,0.0010640621185302,0,0,0,0,0.994,0.13,0.0,0.9856000000000004,0.308708906173706,0.0053319734372804,0.9825321900477936,0.3579308986663818,0.0491577665571736,BendRegOCT,2025-08-16 10:07:44,soybean-small,,,21,21,0,45,4,2,0.9760000000000004,0.9760000000000004,0.0,0.3826718330383301,100.0,1505764671,0.005955672,True,True,SPNoValCheck,False,3,0.006,276,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.093012,59,4
113.0,0.0075781345367431,1490,0.0878627300262451,8,0.0100581645965576,0,0,0,0,0.9992,0.22,0.0,0.9983999999999992,0.8358051776885986,0.0044653040022745,0.997688888888888,0.932420015335083,0.0209236008212615,BendRegOCT,2025-08-16 10:07:38,monk1,,,6,6,0,15,2,2,0.9943999999999996,0.9943999999999996,0.0,2.279711961746216,1360.0,578666839,0.023242808,True,True,SPNoValCheck,False,4,0.0008,205,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.119408,75,5
47.0,0.0166976451873779,235,0.016913890838623,0,0.0011622905731201,0,0,0,0,0.992,0.0,0.0,0.9808000000000004,0.0256907939910888,0.0114582257536051,0.9746714048803604,0.3640978336334228,0.3945238946019733,BendRegOCT,2025-08-16 10:07:46,soybean-small,,,21,21,0,45,4,2,0.9680000000000004,0.9680000000000004,0.0,0.3781118392944336,38.0,-1206546024,0.007865504,True,True,SPNoValCheck,False,4,0.008,290,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.093352,57,5
47.0,0.0091984272003173,205,0.0229420661926269,0,0.0012509822845458,0,0,0,0,0.9992,0.13,0.0,0.9980800000000004,0.3084700107574463,0.0053009940422804,0.9976759526938244,0.3509929180145263,0.0398059859521258,BendRegOCT,2025-08-16 10:07:44,soybean-small,,,21,21,0,45,4,2,0.9968000000000002,0.9968000000000002,0.0,0.4032189846038818,167.0,-124066883,0.00591996,True,True,SPNoValCheck,False,3,0.0008,280,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.110224,59,5
116.0,0.0679054260253906,1148,0.0832409858703613,0,0.0072319507598876,0,0,0,0,0.992,0.28,0.0,0.9840000000000002,0.9727170467376708,0.0021525238284161,0.9807213114754102,1.0482070446014404,0.0078976039075724,BendRegOCT,2025-08-16 10:07:37,monk3,,,6,6,0,15,2,2,0.9108196721311476,0.9108196721311476,0.0,5.716125011444092,6252.0,654276689,0.0185794,True,True,SPNoValCheck,False,3,0.008,245,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.120828,61,8
